دروس پایه و عمومی - 30,کد درس,تعداد واحد ,درس های اصلی - 55,کد درس,تعداد واحد ,بسته  شبکه های کامپیوتری - 18,کد درس,تعداد واحد ,بسته هوش مصنوعی - 12,کد درس,تعداد واحد ,درس های اختیاری - 15,کد درس,تعداد واحد ,بسته مبانی نظری اسلام - 4,کد درس,تعداد واحد ,بسته اخلاق اسلامی - 2,کد درس,تعداد واحد ,بسته انقلاب اسلامی - 2,کد درس,تعداد واحد ,بسته تاریخ و تمدن اسلامی - 2,کد درس,تعداد واحد ,بسته آشنایی منابع اسلامی - 2,کد درس,تعداد واحد 
ریاضی عمومی ۱,22462201,۳,مبانی کامپیوتر و برنامه نویسی,11209,۳,برنامه نویسی وب,11269,۳,مبانی و کاربردهای هوش مصنوعی,11253,۳,اصول طراحی پایگاه داده ها (اجباری),112102,۳,اندیشه اسلامی ۱,4401,2,فلسفه اخلاق,,2,انقلاب اسلامی ایران,4404,2,تاریخ فرهنگ و تمدن اسلامی,4418,2,تفسیر موضوعی قرآن,4411,2
ریاضی عمومی ۲,22462202,۳,کارگاه مبانی کامپیوتر و برنامه نویسی,11248,۱,انتقال داده ها,112303,۳,مبانی هوش محاسباتی,,۳,طراحی الگوریتم ها (اجباری),11221,۳,انسان در اسلام,,2,اخلاق خانواده,,2,آشنایی با قانون اساسی,4415,2,تاریخ تحلیلی صدر اسلام,4412,2,تفسیر موضوعی نهج البلاغه,4414,2
فیزیک ۱,22462210,۳,ریاضیات گسسته,11211,۳,مبانی امنیت اطلاعات,11267,۳,داده کاوی,11237,۳,مدیریت پروژه فناوری اطلاعات,112205,۳,اندیشه اسلامی ۲,4402,2,اخلاق اسلامی,,2,اندیشه امام خمینی,,2,تاریخ امامت,4416,2,,,
فیزیک ۲,22462211,۳,برنامه نویسی پیشرفته,11212,۳,برنامه نویسی دستگاههای سیار,11263,۳,بازیابی اطلاعات,112108,۳,مباحث ویژه,,۳,حقوق اجتماعی و سیاسی در اسلام,,2,آیین زندگی,4405,2,,,,,,,,,
معادلات دیفرانسیل,22462203,۳,کارگاه برنامه نویسی پیشرفته,11250,۱,مبانی رایانش ابری,11268,۳,,,,اصول طراحی کامپایلر,11227,۳,,,,عرفان عملی اسلام,,2,,,,,,,,,
آمار و احتمال مهندسی,11205,۳,مدارهای منطقی,11214,۳,مبانی اینترنت اشیا,11271,۳,,,,زبان های برنامه نویسی,11265,۳,,,,,,,,,,,,,,,
آزمایشگاه فیزیک ۲,99902,۱,آزمایشگاه مدارهای منطقی,11256,۱,,,,,,,مهندسی نرم افزار ۲,11262,۳,,,,,,,,,,,,,,,
کارگاه برق,11246,۱,ساختمان داده ها و الگوریتمها,11251,۳,,,,,,,تجارت الکترونیکی,112209,۳,,,,,,,,,,,,,,,
زبان فارسی,4407,۳,مدارهای الکتریکی و الکترونیکی,11254,۳,,,,,,,,,,,,,,,,,,,,,,,,
زبان انگلیسی,11247,۳,آزمایشگاه مدارهای الکتریکی و الکترونیکی,11255,۱,,,,,,,,,,,,,,,,,,,,,,,,
تربیت بدنی,920001,۱,زبان تخصصی,11216,۲,,,,,,,,,,,,,,,,,,,,,,,,
ورزش,920002,۱,معماری کامپیوتر,11219,۳,,,,,,,,,,,,,,,,,,,,,,,,
دانش خانواده,4423,۲,آزمایشگاه معماری کامپیوتر,11252,۱,,,,,,,,,,,,,,,,,,,,,,,,
,,,نظریه زبانها و ماشینها,11215,۳,,,,,,,,,,,,,,,,,,,,,,,,
,,,جبر خطی کاربردی,11257,۳,,,,,,,,,,,,,,,,,,,,,,,,
,,,ریزپردازنده و زبان اسمبلی,11224,۳,,,,,,,,,,,,,,,,,,,,,,,,
,,,آزمایشگاه ریزپردازنده و زبان اسمبلی,11230,۱,,,,,,,,,,,,,,,,,,,,,,,,
,,,سیستم های عامل,11220,۳,,,,,,,,,,,,,,,,,,,,,,,,
,,,آزمایشگاه سیستم های عامل,11228,۱,,,,,,,,,,,,,,,,,,,,,,,,
,,,شبکه های کامپیوتری,11225,۳,,,,,,,,,,,,,,,,,,,,,,,,
,,,آزمایشگاه شبکه های کامپیوتری,11231,۱,,,,,,,,,,,,,,,,,,,,,,,,
,,,مهندسی نرم افزار ۱,11261,۳,,,,,,,,,,,,,,,,,,,,,,,,
,,,روش پژوهش و ارایه,11217,۲,,,,,,,,,,,,,,,,,,,,,,,,
,,,کارآموزی,112106,۱,,,,,,,,,,,,,,,,,,,,,,,,
,,,پروژه پایانی,11275,۳,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

